TRACT_2019,TRACT_2020,pop,tract_total_pop,allocation
010100,010100,4331,4331,1
010201,010201,7035,7035,1
010202,010202,2441,2441,1
010300,010300,6367,6367,1
010400,010400,5276,5276,1
010501,010501,3976,3976,1
010502,010502,2565,2565,1
010503,010503,2137,2137,1
010600,010600,6354,6354,1
010701,010701,3769,3769,1
010702,010702,5258,5258,1
020100,020100,4102,4102,1
020200,020200,6811,6811,1
020301,020301,5240,5240,1
020302,020302,4968,4968,1
020400,020400,4478,4478,1
020500,020500,6342,6342,1
020601,020601,6033,6033,1
020602,020602,4508,4508,1
020701,020701,1772,1772,1
020702,020702,7669,7669,1
020801,020801,5130,5130,1
020802,020802,7667,7667,1
020901,020901,5691,5691,1
020902,020902,4385,4385,1
030101,030101,3509,3509,1
030102,030102,2735,2735,1
030103,030103,2195,2195,1
030104,030104,3322,3322,1
030200,030200,4963,4963,1
030300,030300,3252,3252,1
030400,030400,2697,2697,1
030500,030500,6452,6452,1
030601,030601,2995,2995,1
030603,030603,2008,2008,1
030604,030604,4187,4187,1
030701,030701,1571,1571,1
030702,030702,1666,1666,1
030703,030703,2662,2662,1
030706,030706,3521,3521,1
030800,030800,4304,4304,1
030900,030900,3073,3073,1
031000,031000,4030,4030,1
031100,031100,4565,4565,1
031200,031200,5632,5632,1
031300,031300,7857,7857,1
031400,031400,4923,4923,1
031501,031501,3636,3636,1
031502,031502,4289,4289,1
031700,031700,6867,6867,1
031800,031800,1747,1747,1
031900,031900,2483,2483,1
032100,032100,7019,7019,1
040100,040100,3849,3849,1
040201,040201,6858,6858,1
040202,040202,7144,7144,1
040300,040300,2917,2917,1
040401,040401,3082,3082,1
040402,040402,4928,4928,1
040600,040600,2657,2657,1
040700,040700,3263,3263,1
040800,040800,1791,1791,1
040900,040900,1859,1859,1
050100,050100,2650,2650,1
050200,050200,5143,5143,1
050300,050300,2530,2530,1
050500,050500,6182,6182,1
050600,050600,2191,2191,1
050700,050700,1579,1579,1
050800,050800,1458,1458,1
050900,050900,1436,1436,1
051000,051000,1760,1760,1
051100,051100,1655,1655,1
051200,051200,1611,1611,1
051300,051300,2763,2763,1
051400,051400,1796,1796,1
060100,060100,2748,2748,1
060200,060200,2242,2242,1
060300,060300,3390,3390,1
060400,060400,3854,3854,1
060500,060500,1301,1301,1
060800,060800,4847,4847,1
060900,060900,7443,7443,1
061000,061000,2037,2037,1
061100,061100,1641,1641,1
061200,061200,1841,1841,1
061500,061500,1862,1862,1
061800,061800,1201,1201,1
061901,061901,3553,3553,1
061902,061902,4447,4447,1
062000,062000,3068,3068,1
062100,062100,3653,3653,1
062200,062200,2767,2767,1
062300,062300,1704,1704,1
062400,062400,1405,1405,1
062500,062500,1535,1535,1
062600,062600,2270,2270,1
062700,062700,2711,2711,1
062800,062800,3556,3556,1
062900,062900,3883,3883,1
063000,063000,3253,3253,1
063100,063100,2310,2310,1
063200,063200,6943,6943,1
063301,063301,2606,2606,1
063302,063302,4125,4125,1
063303,063303,1296,1296,1
063400,063400,2400,2400,1
070101,070101,3741,3741,1
070102,070102,2949,2949,1
070103,070103,1571,1571,1
070200,070200,3986,3986,1
070300,070300,3507,3507,1
070400,070400,3182,3182,1
070500,070500,3183,3183,1
070600,070600,3279,3279,1
070700,070700,4308,4308,1
071000,071000,4339,4339,1
071100,071100,3110,3110,1
071200,071200,1913,1913,1
071300,071300,3725,3725,1
071400,071400,4709,4709,1
071500,071500,6071,6071,1
071600,071600,1695,1695,1
071700,071700,1759,1759,1
071800,071800,2727,2727,1
080100,080100,6946,6946,1
080201,080201,3223,3223,1
080202,080202,3679,3679,1
080300,080300,4570,4570,1
080400,080400,4057,4057,1
081000,081000,7614,7614,1
