"TRACT","ward","households","tract_total","allocation","tract_shortname"
"17031010100",49,2447,2447,1,"101"
"17031010201",49,2912,2912,1,"102.01"
"17031010202",49,1304,1304,1,"102.02"
"17031010300",49,4066,4066,1,"103"
"17031010400",49,3482,3482,1,"104"
"17031010501",49,2446,2446,1,"105.01"
"17031010502",49,1573,1573,1,"105.02"
"17031010503",49,1215,1215,1,"105.03"
"17031010600",49,3257,3257,1,"106"
"17031010701",49,1554,1554,1,"107.01"
"17031010702",49,2155,2155,1,"107.02"
"17031020100",49,1044,1529,0.682799215173316,"201"
"17031020100",50,485,1529,0.317200784826684,"201"
"17031020200",50,2293,2293,1,"202"
"17031020301",50,2015,2015,1,"203.01"
"17031020302",50,2125,2125,1,"203.02"
"17031020400",50,1789,1789,1,"204"
"17031020500",50,2444,2444,1,"205"
"17031020601",50,2040,2040,1,"206.01"
"17031020602",50,1431,1431,1,"206.02"
"17031020701",40,649,649,1,"207.01"
"17031020702",50,2534,2534,1,"207.02"
"17031020801",40,2091,2091,1,"208.01"
"17031020802",40,1024,2306,0.444058976582827,"208.02"
"17031020802",50,1282,2306,0.555941023417173,"208.02"
"17031020901",40,556,1940,0.28659793814433,"209.01"
"17031020901",50,1384,1940,0.71340206185567,"209.01"
"17031020902",40,2150,2150,1,"209.02"
"17031030101",48,2161,2161,1,"301.01"
"17031030102",48,1891,1891,1,"301.02"
"17031030103",48,1625,1625,1,"301.03"
"17031030104",48,2723,2723,1,"301.04"
"17031030200",48,2634,2634,1,"302"
"17031030300",40,1488,1488,1,"303"
"17031030400",40,1485,1485,1,"304"
"17031030500",48,3100,3100,1,"305"
"17031030601",48,2246,2246,1,"306.01"
"17031030603",48,1340,1340,1,"306.03"
"17031030604",48,2043,2043,1,"306.04"
"17031030701",48,1111,1111,1,"307.01"
"17031030702",48,624,624,1,"307.02"
"17031030703",48,1707,1707,1,"307.03"
"17031030706",48,2863,2863,1,"307.06"
"17031030800",48,2219,2219,1,"308"
"17031030900",40,1535,1535,1,"309"
"17031031000",40,646,2046,0.315738025415445,"310"
"17031031000",47,1400,2046,0.684261974584555,"310"
"17031031100",46,211,2519,0.0837633981738785,"311"
"17031031100",47,2308,2519,0.916236601826121,"311"
"17031031200",46,1003,3005,0.333777038269551,"312"
"17031031200",48,2002,3005,0.666222961730449,"312"
"17031031300",46,1200,4804,0.249791840133222,"313"
"17031031300",48,3604,4804,0.750208159866778,"313"
"17031031400",46,3346,3346,1,"314"
"17031031501",46,2380,2380,1,"315.01"
"17031031502",46,2340,2340,1,"315.02"
"17031031700",46,3723,3723,1,"317"
"17031031800",47,965,965,1,"318"
"17031031900",47,1312,1312,1,"319"
"17031032100",46,4012,4012,1,"321"
"17031040100",40,1840,1840,1,"401"
"17031040201",40,3086,3086,1,"402.01"
"17031040202",40,3354,3354,1,"402.02"
"17031040300",40,1211,1211,1,"403"
"17031040401",40,988,1356,0.728613569321534,"404.01"
"17031040401",47,368,1356,0.271386430678466,"404.01"
"17031040402",40,1378,2489,0.553635998392929,"404.02"
"17031040402",47,1111,2489,0.446364001607071,"404.02"
"17031040600",47,1172,1172,1,"406"
"17031040700",40,967,1563,0.618682021753039,"407"
"17031040700",47,596,1563,0.381317978246961,"407"
"17031040800",47,913,913,1,"408"
"17031040900",47,995,995,1,"409"
"17031050100",47,1160,1160,1,"501"
"17031050200",47,2300,2300,1,"502"
"17031050300",47,1092,1092,1,"503"
"17031050500",47,2283,2283,1,"505"
"17031050600",47,1112,1112,1,"506"
"17031050700",32,169,687,0.245997088791849,"507"
"17031050700",47,518,687,0.754002911208151,"507"
"17031050800",32,335,605,0.553719008264463,"508"
"17031050800",47,270,605,0.446280991735537,"508"
"17031050900",32,307,603,0.509121061359867,"509"
"17031050900",47,296,603,0.490878938640133,"509"
"17031051000",32,756,762,0.992125984251969,"510"
"17031051000",47,6,762,0.0078740157480315,"510"
"17031051100",32,661,661,1,"511"
"17031051200",32,350,675,0.518518518518518,"512"
"17031051200",47,325,675,0.481481481481481,"512"
"17031051300",32,1142,1142,1,"513"
"17031051400",1,153,796,0.192211055276382,"514"
"17031051400",32,643,796,0.807788944723618,"514"
"17031060100",47,1272,1272,1,"601"
"17031060200",47,1133,1133,1,"602"
"17031060300",47,1415,1415,1,"603"
"17031060400",44,987,1616,0.610767326732673,"604"
"17031060400",47,629,1616,0.389232673267327,"604"
"17031060500",44,339,831,0.407942238267148,"605"
"17031060500",47,492,831,0.592057761732852,"605"
"17031060800",46,2926,2926,1,"608"
"17031060900",46,4796,4796,1,"609"
"17031061000",44,463,1022,0.453033268101761,"610"
"17031061000",46,559,1022,0.546966731898239,"610"
"17031061100",44,762,762,1,"611"
"17031061200",44,838,838,1,"612"
"17031061500",44,835,835,1,"615"
"17031061800",46,834,834,1,"618"
"17031061901",44,1950,2187,0.891632373113855,"619.01"
"17031061901",46,237,2187,0.108367626886145,"619.01"
"17031061902",44,2762,2938,0.940095302927161,"619.02"
"17031061902",46,176,2938,0.0599046970728387,"619.02"
"17031062000",44,1661,1661,1,"620"
"17031062100",44,1901,1901,1,"621"
"17031062200",44,1346,1346,1,"622"
"17031062300",44,744,744,1,"623"
"17031062400",44,692,692,1,"624"
"17031062500",47,751,751,1,"625"
"17031062600",32,979,979,1,"626"
"17031062700",32,1163,1163,1,"627"
"17031062800",32,1585,1585,1,"628"
"17031062900",44,1962,1962,1,"629"
"17031063000",44,1852,1852,1,"630"
"17031063100",44,1345,1345,1,"631"
"17031063200",44,4358,4358,1,"632"
"17031063301",44,1832,1832,1,"633.01"
"17031063302",44,2727,2727,1,"633.02"
"17031063303",44,947,947,1,"633.03"
"17031063400",44,1316,1316,1,"634"
"17031070101",43,2278,2278,1,"701.01"
"17031070102",43,2029,2029,1,"701.02"
"17031070103",43,1182,1182,1,"701.03"
"17031070200",43,2305,2305,1,"702"
"17031070300",43,1702,1702,1,"703"
"17031070400",43,1663,1663,1,"704"
"17031070500",2,518,1616,0.320544554455446,"705"
"17031070500",32,377,1616,0.233292079207921,"705"
"17031070500",43,721,1616,0.446163366336634,"705"
"17031070600",2,481,1340,0.358955223880597,"706"
"17031070600",32,859,1340,0.641044776119403,"706"
"17031070700",1,341,1826,0.186746987951807,"707"
"17031070700",32,1485,1826,0.813253012048193,"707"
"17031071000",43,3087,3087,1,"710"
"17031071100",43,1588,1588,1,"711"
"17031071200",43,973,973,1,"712"
"17031071300",43,1849,1849,1,"713"
"17031071400",43,3150,3150,1,"714"
"17031071500",2,995,4008,0.248253493013972,"715"
"17031071500",27,92,4008,0.0229540918163673,"715"
"17031071500",43,2921,4008,0.728792415169661,"715"
"17031071600",43,736,736,1,"716"
"17031071700",2,100,778,0.12853470437018,"717"
"17031071700",43,678,778,0.87146529562982,"717"
"17031071800",2,452,1122,0.402852049910873,"718"
"17031071800",43,670,1122,0.597147950089127,"718"
"17031080100",43,4306,4306,1,"801"
"17031080201",2,2233,2287,0.976388281591605,"802.01"
"17031080201",27,54,2287,0.0236117184083953,"802.01"
"17031080202",2,2370,2370,1,"802.02"
"17031080300",2,1635,2778,0.588552915766739,"803"
"17031080300",27,1143,2778,0.411447084233261,"803"
"17031080400",2,605,2042,0.296278158667973,"804"
"17031080400",27,1437,2042,0.703721841332027,"804"
"17031081000",2,4828,6088,0.793035479632063,"810"
"17031081000",27,1260,6088,0.206964520367937,"810"
"17031081100",2,2911,2911,1,"811"
"17031081201",2,845,4661,0.181291568332976,"812.01"
"17031081201",42,3816,4661,0.818708431667024,"812.01"
"17031081202",2,1663,2146,0.774930102516309,"812.02"
"17031081202",42,482,2146,0.224603914259087,"812.02"
"17031081202",43,1,2146,0.000465983224603914,"812.02"
"17031081300",2,4948,4948,1,"813"
"17031081401",2,660,3223,0.204778156996587,"814.01"
"17031081401",42,2563,3223,0.795221843003413,"814.01"
"17031081402",42,3042,3042,1,"814.02"
"17031081403",42,8172,8172,1,"814.03"
"17031081500",42,6681,6681,1,"815"
"17031081600",2,664,3507,0.189335614485315,"816"
"17031081600",42,2843,3507,0.810664385514685,"816"
"17031081700",2,950,4285,0.221703617269545,"817"
"17031081700",42,3335,4285,0.778296382730455,"817"
"17031081800",2,323,6383,0.0506031646561178,"818"
"17031081800",27,83,6383,0.0130032899890334,"818"
"17031081800",42,5977,6383,0.936393545354849,"818"
"17031081900",27,298,427,0.697892271662763,"819"
"17031081900",42,129,427,0.302107728337237,"819"
"17031090100",41,1405,1405,1,"901"
"17031090200",NA,48,2804,0.0171184022824536,"902"
"17031090200",41,2756,2804,0.982881597717546,"902"
"17031090300",NA,24,520,0.0461538461538462,"903"
"17031090300",41,496,520,0.953846153846154,"903"
"17031100100",39,958,2278,0.42054433713784,"1001"
"17031100100",45,1320,2278,0.57945566286216,"1001"
"17031100200",41,3038,3038,1,"1002"
"17031100300",41,3045,3045,1,"1003"
"17031100400",41,1271,1271,1,"1004"
"17031100500",41,2171,2171,1,"1005"
"17031100600",41,1191,1933,0.616140713916192,"1006"
"17031100600",45,742,1933,0.383859286083808,"1006"
"17031100700",41,1180,1849,0.638182801514332,"1007"
"17031100700",45,669,1849,0.361817198485668,"1007"
"17031110100",39,974,2114,0.46073793755913,"1101"
"17031110100",45,1140,2114,0.53926206244087,"1101"
"17031110200",45,1267,1267,1,"1102"
"17031110300",45,1999,1999,1,"1103"
"17031110400",45,1908,1908,1,"1104"
"17031110501",45,1789,1789,1,"1105.01"
"17031110502",45,1525,1525,1,"1105.02"
"17031120100",39,44,1497,0.0293921175684703,"1201"
"17031120100",41,1453,1497,0.97060788243153,"1201"
"17031120200",39,987,1732,0.56986143187067,"1202"
"17031120200",41,745,1732,0.43013856812933,"1202"
"17031120300",39,2451,2451,1,"1203"
"17031120400",39,608,1280,0.475,"1204"
"17031120400",45,672,1280,0.525,"1204"
