"TRACT_2020","TRACT_prev","N","tot2020","allocation"
"17031010100","17031010100",2447,2447,1
"17031010201","17031010201",2912,2912,1
"17031010202","17031010202",1304,1304,1
"17031010300","17031010300",4066,4066,1
"17031010400","17031010400",3482,3482,1
"17031010501","17031010501",2446,2446,1
"17031010502","17031010502",1573,1573,1
"17031010503","17031010503",1215,1215,1
"17031010600","17031010600",3257,3257,1
"17031010701","17031010701",1554,1554,1
"17031010702","17031010702",2155,2155,1
"17031020100","17031020100",1529,1529,1
"17031020200","17031020200",2293,2293,1
"17031020301","17031020301",2015,2015,1
"17031020302","17031020302",2125,2125,1
"17031020400","17031020400",1789,1789,1
"17031020500","17031020500",2444,2444,1
"17031020601","17031020601",2040,2040,1
"17031020602","17031020602",1431,1431,1
"17031020701","17031020701",649,649,1
"17031020702","17031020702",2534,2534,1
"17031020801","17031020801",2091,2091,1
"17031020802","17031020802",2306,2306,1
"17031020901","17031020901",1940,1940,1
"17031020902","17031020902",2150,2150,1
"17031030101","17031030101",2161,2161,1
"17031030102","17031030102",1891,1891,1
"17031030103","17031030103",1625,1625,1
"17031030104","17031030104",2723,2723,1
"17031030200","17031030200",2634,2634,1
"17031030300","17031030300",1488,1488,1
"17031030400","17031030400",1485,1485,1
"17031030500","17031030500",3100,3100,1
"17031030601","17031030601",1604,1604,1
"17031030603","17031030603",1340,1340,1
"17031030604","17031030601",642,2685,0.239106145251397
"17031030604","17031030604",2043,2685,0.760893854748603
"17031030701","17031030701",1111,1111,1
"17031030702","17031030702",624,1119,0.557640750670241
"17031030702","17031030706",495,1119,0.442359249329759
"17031030703","17031030703",1707,1707,1
"17031030706","17031030706",2368,2368,1
"17031030800","17031030800",2219,2219,1
"17031030900","17031030900",1535,1535,1
"17031031000","17031031000",2046,2046,1
"17031031100","17031031100",2519,2519,1
"17031031200","17031031200",3005,3005,1
"17031031300","17031031300",4804,4804,1
"17031031400","17031031400",3346,3346,1
"17031031501","17031031501",2105,2105,1
"17031031502","17031031502",2340,2340,1
"17031031700","17031031700",3723,3723,1
"17031031800","17031031800",965,965,1
"17031031900","17031031900",1312,1312,1
"17031032100","17031032100",4012,4012,1
"17031040100","17031040100",1840,1840,1
"17031040201","17031040201",3086,3086,1
"17031040202","17031040202",3354,3354,1
"17031040300","17031040300",1211,1211,1
"17031040401","17031040401",1356,1356,1
"17031040402","17031040402",2489,2489,1
"17031040600","17031040600",1172,1172,1
"17031040700","17031040700",1563,1563,1
"17031040800","17031040800",913,913,1
"17031040900","17031040900",995,995,1
"17031050100","17031050100",1160,1160,1
"17031050200","17031050200",2300,2300,1
"17031050300","17031050300",1092,1092,1
"17031050500","17031050500",2283,2283,1
"17031050600","17031050600",1112,1112,1
"17031050700","17031050700",687,687,1
"17031050800","17031050800",605,605,1
"17031050900","17031050900",603,603,1
"17031051000","17031051000",762,762,1
"17031051100","17031051100",661,661,1
"17031051200","17031051200",675,675,1
"17031051300","17031051300",1142,1142,1
"17031051400","17031051400",796,796,1
"17031060100","17031060100",1272,1272,1
"17031060200","17031060200",1133,1133,1
"17031060300","17031060300",1415,1415,1
"17031060400","17031060400",1616,1616,1
"17031060500","17031060500",831,831,1
"17031060800","17031060800",2926,2926,1
"17031060900","17031060900",4796,4796,1
"17031061000","17031061000",1022,1022,1
"17031061100","17031061100",762,762,1
"17031061200","17031061200",838,838,1
"17031061500","17031061500",835,835,1
"17031061800","17031061800",834,834,1
"17031061901","17031061901",2187,2187,1
"17031061902","17031061902",2938,2938,1
"17031062000","17031062000",1661,1661,1
"17031062100","17031062100",1901,1901,1
"17031062200","17031062200",1346,1346,1
"17031062300","17031062300",744,744,1
"17031062400","17031062400",692,692,1
"17031062500","17031062500",751,751,1
"17031062600","17031062600",979,979,1
"17031062700","17031062700",1163,1163,1
"17031062800","17031062800",1585,1585,1
"17031062900","17031062900",1962,1962,1
"17031063000","17031063000",1852,1852,1
"17031063100","17031063100",1345,1345,1
"17031063200","17031063200",4358,4358,1
"17031063301","17031063301",1832,1832,1
"17031063302","17031063302",2727,2727,1
"17031063303","17031063303",947,947,1
"17031063400","17031063400",1316,1316,1
"17031070101","17031070101",2278,2278,1
"17031070102","17031070102",2029,2029,1
"17031070103","17031070103",1182,1182,1
"17031070200","17031070200",2305,2305,1
"17031070300","17031070300",1702,1702,1
"17031070400","17031070400",1663,1663,1
"17031070500","17031070500",1616,1616,1
"17031070600","17031070600",1340,1340,1
"17031070700","17031070700",1826,1826,1
"17031071000","17031071000",3087,3087,1
"17031071100","17031071100",1588,1588,1
"17031071200","17031071200",973,973,1
"17031071300","17031071300",1849,1849,1
"17031071400","17031071400",3150,3150,1
"17031071500","17031071500",4008,4008,1
"17031071600","17031071600",736,736,1
"17031071700","17031071700",778,778,1
"17031071800","17031071800",1122,1122,1
"17031080100","17031080100",4306,4306,1
"17031080201","17031080201",2287,2287,1
"17031080202","17031080202",2370,2370,1
"17031080300","17031080300",2778,2778,1
"17031080400","17031080400",2042,2042,1
"17031081000","17031081000",6088,6088,1
"17031081100","17031081100",2911,2911,1
"17031081201","17031081201",4661,4661,1
"17031081202","17031081202",2146,2146,1
