geoidtxt,tractfips,chicago,mailreturnratecen2010,lowresponsescore,totpop,totunder5,hispanic,blackaloneorcombo,asianaloneorcombo,amerindaloneorcombo,nathawaloneorcombo,tothh,totpopinhhs,groupquarter,lephhs,lepspanhhs,lepindoeurhhs,lepapachhs,lepotherhhs,totpopbornoutus,fb2010plus,fb2000plus,owner_total,renter_total,hh_singleparent,hh_crowded,hh_owner_crowded,hh_renter_crowded,poverty_total,poverty_less100,poverty_less200,housingunits_total,units_2plus,units_10plus,nointernet,internet_nosub,internet,dialuponly,broadband_any,broadband_cablefiberopticdsl,broadband_cablefiberopticdslonly,cellular,cellularonly,satellite,satelliteonly,otheronly,hher15to34,hher35to54,hher55to64,hher65plus,moved2015later,move10to14,moved00to09,moved90to99,moved1989earlier,intfirsteng,intfirstbiling,intchoiceeng,intchoicebiling,mailtypenotknown,updateenumerate,remotealaska,updateleave
17031010100,101,TRUE,69.9,30.5,"4,522",384,404,"2,200",60,44,0,"2,316","4,378",144,112,44,0,0,68,806,315,493,508,"1,808",330,59,0,59,"4,411","1,579","2,035","2,656","2,438","1,144",450,118,"1,748",51,"1,697","1,489",411,"1,286",208,41,0,0,654,963,516,183,462,927,670,97,160,"2,656",0,0,0,0,0,0,0
17031010201,102.01,TRUE,72.4,26.9,"7,039",480,"1,500","2,734",331,123,0,"2,688","6,858",181,355,200,77,0,78,"2,535","1,245","1,667",770,"1,918",282,300,0,300,"7,025","2,588","3,776","2,984","2,671","1,097",436,167,"2,085",20,"2,065","1,800",492,"1,558",248,114,0,0,514,"1,341",523,310,725,849,789,201,124,"2,984",0,0,0,0,0,0,0
17031010202,102.02,TRUE,74.7,27.7,"2,852",245,828,804,323,60,0,"1,102","2,538",314,68,18,50,0,0,"1,088",279,585,295,807,118,161,7,154,"2,530",467,"1,476","1,256","1,164",723,233,35,834,0,834,723,190,598,83,35,12,0,296,354,245,207,296,375,322,41,68,"1,256",0,0,0,0,0,0,0
17031010300,103,TRUE,76.5,23.5,"6,650",351,"1,121","2,205",275,101,87,"3,037","5,680",970,248,106,66,0,76,"1,520",371,824,"1,036","2,001",100,234,14,220,"5,672",916,"2,117","3,399","3,079","2,189",515,110,"2,412",0,"2,412","1,875",698,"1,629",413,116,85,0,541,"1,484",478,534,744,"1,163",696,227,207,"3,399",0,0,0,0,0,0,0
17031010400,104,TRUE,75.2,28.3,"5,153",84,309,"1,033",392,0,0,"1,938","3,598","1,555",82,0,16,16,50,585,256,351,412,"1,526",109,87,0,87,"3,641",694,"1,322","2,186","2,077","1,557",274,45,"1,619",0,"1,619","1,426",540,"1,012",143,63,37,0,753,631,279,275,631,639,481,169,18,"2,186",0,0,0,0,0,0,0
17031010501,105.01,TRUE,77.2,27.4,"4,147",228,457,"1,448",262,82,0,"2,425","4,127",20,219,0,203,0,16,"1,399",258,747,291,"2,134",54,30,0,30,"4,140",857,"1,894","2,652","2,467","1,841",526,218,"1,681",0,"1,681","1,571",482,"1,161",46,67,0,38,"1,004",754,220,447,613,"1,134",525,116,37,"2,652",0,0,0,0,0,0,0
17031010502,105.02,TRUE,72,28.2,"2,802",81,275,905,265,17,0,"1,508","2,757",45,155,29,78,14,34,613,221,480,287,"1,221",85,91,21,70,"2,757",828,"1,356","1,796","1,759","1,263",262,83,"1,163",7,"1,156","1,041",332,816,100,23,8,0,568,694,140,106,548,585,289,37,49,"1,796",0,0,0,0,0,0,0
17031010503,105.03,TRUE,77.7,26.9,"1,713",55,106,227,308,10,0,968,"1,705",8,277,20,115,23,119,547,104,301,197,771,22,59,0,59,"1,713",823,"1,135","1,258","1,242",833,308,5,655,0,655,592,258,385,55,12,8,0,343,104,98,423,234,386,186,68,94,"1,258",0,0,0,0,0,0,0
17031010600,106,TRUE,78.1,29.1,"6,271",289,"1,370","1,162",269,35,0,"2,875","6,087",184,301,180,66,34,21,"1,504",187,811,712,"2,163",80,145,0,145,"6,097","1,487","2,329","3,301","3,141","1,761",458,92,"2,325",0,"2,325","2,113",496,"1,770",212,98,0,0,"1,060","1,118",364,333,745,"1,169",694,209,58,"3,301",0,0,0,0,0,0,0
17031010701,107.01,TRUE,78,25,"3,766",314,980,755,540,61,0,"1,459","3,766",0,175,52,51,32,40,"1,237",430,787,655,804,164,109,14,95,"3,766",783,"1,593","1,704","1,317",617,162,40,"1,257",0,"1,257","1,183",424,823,54,12,0,0,436,582,246,195,294,390,388,234,153,"1,704",0,0,0,0,0,0,0
17031010702,107.02,TRUE,75.7,30.9,"5,096",241,"1,822","1,237",487,0,0,"2,060","5,022",74,252,196,28,28,0,"1,918",451,"1,287",437,"1,623",236,274,8,266,"5,088","1,231","2,640","2,268","2,113","1,095",291,121,"1,648",11,"1,637","1,409",541,"1,049",150,77,10,9,799,933,252,76,693,769,440,139,19,0,"2,268",0,0,0,0,0,0
17031020100,201,TRUE,71.5,27.1,"3,836",278,815,"1,289",529,33,0,"1,556","3,785",51,211,73,128,10,0,"1,393",224,441,764,792,76,87,24,63,"3,836",546,"1,505","1,737","1,413",515,184,60,"1,312",0,"1,312","1,054",174,"1,129",246,44,0,0,254,581,372,349,275,667,284,239,91,"1,737",0,0,0,0,0,0,0
