GEO_ID,RESP_DATE,DRRALL,CRRALL,DRRINT,CRRINT,state,county,tract
1400000US17031834900,2020-03-27,1.8,21.2,0.6,9.8,17,31,834900
1400000US17031835000,2020-03-27,1.8,19.2,0.5,11.1,17,31,835000
1400000US17031835100,2020-03-27,1.8,16.6,0.8,9.1,17,31,835100
1400000US17031835200,2020-03-27,1.8,23.8,0.3,10.9,17,31,835200
1400000US17031835500,2020-03-27,2.7,23.2,1,9.9,17,31,835500
1400000US17031835600,2020-03-27,2,17.9,0.2,8.7,17,31,835600
1400000US17031835800,2020-03-27,1.1,16.1,1.1,16.1,17,31,835800
1400000US17031836000,2020-03-27,1.3,19.2,1.3,19,17,31,836000
1400000US17031836100,2020-03-27,2.1,18.7,0.7,10.9,17,31,836100
1400000US17031836200,2020-03-27,0,20.6,0,20.6,17,31,836200
1400000US17031836300,2020-03-27,1.2,27,1.2,26.6,17,31,836300
1400000US17031836400,2020-03-27,1.1,22.6,1.1,21.4,17,31,836400
1400000US17031836500,2020-03-27,1.4,25.7,1.3,24.4,17,31,836500
1400000US17031836700,2020-03-27,2.1,21.7,0.6,13,17,31,836700
1400000US17031836800,2020-03-27,3.1,26.2,0.6,14.1,17,31,836800
1400000US17031837000,2020-03-27,2.1,19,1.2,13,17,31,837000
1400000US17031837100,2020-03-27,1,15.3,1,14.7,17,31,837100
1400000US17031837400,2020-03-27,1.9,22.7,0.8,15.8,17,31,837400
1400000US17031837800,2020-03-27,1.6,23.6,1.6,23.3,17,31,837800
1400000US17031838100,2020-03-27,1.2,17,1.2,16.1,17,31,838100
1400000US17031838200,2020-03-27,1.1,18.3,1.1,17.9,17,31,838200
1400000US17031838600,2020-03-27,2.9,25.2,0.9,16.4,17,31,838600
1400000US17031838800,2020-03-27,2.5,24.6,0.3,12.6,17,31,838800
1400000US17031839000,2020-03-27,1.4,28.9,1.4,28.8,17,31,839000
1400000US17031839200,2020-03-27,1.4,22.5,1.4,21.7,17,31,839200
1400000US17031839500,2020-03-27,2.8,22.3,0.7,8.7,17,31,839500
1400000US17031839700,2020-03-27,1,18.7,1,18.7,17,31,839700
1400000US17031839800,2020-03-27,0.8,21.3,0.8,21.3,17,31,839800
1400000US17031840000,2020-03-27,1.5,28.5,1.5,27.9,17,31,840000
1400000US17031840100,2020-03-27,1.1,24.3,1.1,23.9,17,31,840100
1400000US17031840400,2020-03-27,0.9,21.1,0.9,21.1,17,31,840400
1400000US17031841100,2020-03-27,2.2,24.6,2.2,24.5,17,31,841100
1400000US17031841200,2020-03-27,1.1,13.3,1.1,13.1,17,31,841200
1400000US17031841500,2020-03-27,2.5,21.9,0.7,15.7,17,31,841500
1400000US17031841700,2020-03-27,1.8,19.2,0.5,8.5,17,31,841700
1400000US17031841900,2020-03-27,1.2,31.4,1.2,31.4,17,31,841900
1400000US17031842000,2020-03-27,1.1,23.2,1.1,23.2,17,31,842000
1400000US17031842200,2020-03-27,1.3,21.2,1.2,21,17,31,842200
1400000US17031842300,2020-03-27,1.3,26.8,1.3,26.8,17,31,842300
1400000US17031842500,2020-03-27,3.5,30.1,1.2,23.1,17,31,842500
1400000US17031842600,2020-03-27,1.1,17.6,1.1,17.3,17,31,842600
1400000US17031842900,2020-03-27,4.3,31,1.4,15.4,17,31,842900
1400000US17031843100,2020-03-27,1.6,19.8,0.5,13.7,17,31,843100
1400000US17031843200,2020-03-27,1,13.5,1,13.4,17,31,843200
1400000US17031843400,2020-03-27,2.7,16.4,1,9.8,17,31,843400
1400000US17031843500,2020-03-27,0.6,12.7,0.6,12.4,17,31,843500
1400000US17031843700,2020-03-27,1.2,26.5,1.2,26,17,31,843700
1400000US17031843800,2020-03-27,0.7,15.9,0.7,15.3,17,31,843800
1400000US17031844600,2020-03-27,1,17.9,0.9,17,17,31,844600
1400000US17031844700,2020-03-27,1.5,18.1,0.7,14.2,17,31,844700
1400000US17031410500,2020-03-27,1,23.3,1,23,17,31,410500
1400000US17031410800,2020-03-27,1.3,26.7,1.3,26.4,17,31,410800
1400000US17031411100,2020-03-27,0.8,35,0.8,34.9,17,31,411100
1400000US17031431301,2020-03-27,0.9,16,0.8,15.3,17,31,431301
1400000US17031440101,2020-03-27,2.6,22.7,0.6,13.8,17,31,440101
1400000US17031440202,2020-03-27,4,31.6,1.1,14.2,17,31,440202
1400000US17031440700,2020-03-27,4.1,31.3,1,15.2,17,31,440700
1400000US17031440900,2020-03-27,2.4,24.7,0.5,13.3,17,31,440900
1400000US17031460200,2020-03-27,1,11.4,0.2,6,17,31,460200
