census_tract,ward
1001,45
1002,41
1003,41
1004,41
1005,41
1006,41
1007,41
101,49
102.01,49
102.02,49
103,49
104,49
105.01,49
105.02,49
105.03,49
106,49
107.01,49
107.02,49
1101,45
1102,45
1103,45
1104,45
1105.01,45
1105.02,45
1201,41
1202,39
1203,39
1204,39
1301,50
1302,39
1303,39
1401,33
1402,33
1403.01,35
1403.02,39
1404,39
1405,39
1406.01,35
1406.02,35
1407.01,33
1407.02,33
1408,33
1502,45
1503,38
1504.01,38
1504.02,38
1505.01,38
1505.02,38
1506,38
1507,38
1508,45
1510.01,31
1510.02,31
1511,30
1512,36
1601,39
1602,39
1603,39
1604,35
1605.01,35
1605.02,35
1606.01,33
1606.02,33
1607,33
1608,35
1609,45
1610,45
1611,45
1612,30
1613,30
1701,38
1702,38
1703,38
1704,38
1705,38
1706,38
1707,38
1708,38
1709,29
1710,38
1711,36
1801,36
1901,31
1902,31
1903,31
1904.01,30
1904.02,30
1906.01,30
1906.02,30
1907.01,30
1907.02,30
1908,31
1909,31
1910,36
1911,36
1912,36
1913.01,36
1913.02,36
2001,31
2002,31
2003,31
2004.01,36
2004.02,35
201,49
202,50
203.01,50
203.02,50
204,50
205,50
206.01,50
206.02,50
207.01,40
207.02,50
208.01,40
208.02,50
209.01,50
209.02,40
2101,33
2104,31
2105.01,30
2105.02,30
2106.01,35
2106.02,35
2107,33
2108,33
2109,33
2203,32
2204,32
2205,32
2206.01,35
2206.02,35
2207.01,31
2207.02,31
2209.01,26
2209.02,35
2210,35
2211,26
2212,32
2213,1
2214,1
2215,1
2216,32
2222,32
2225,1
2226,1
2227,1
2228,1
2229,1
2301,26
2302,26
2303,26
2304,26
2305,26
2306,26
2307,26
2308,26
2309,26
2311,27
2312,27
2315,27
2402,32
2403,32
2405,32
2406,1
2407,1
2408,1
2409,26
2410,1
2411,1
2412,1
2413,2
2414,1
2415,2
2416,2
2420,2
2421,1
2422,2
2423,2
2424,2
2425,26
2426,26
2427,26
2428,26
2429,26
2430,26
2431,1
2432,1
2433,1
2434,1
2435,27
2502,37
2503,37
2504,29
2505,29
2506,29
2507,37
2508,37
2510,37
2511,37
2512,37
2513,29
2514,29
2515,37
2516,37
2517,28
2518,28
2519,28
2520,29
2521.01,29
2521.02,29
2522.01,28
2522.02,28
2601,28
2602,28
2603,28
2604,28
2605,28
2606,28
2607,28
2608,28
2609,24
2610,24
2705,24
2712,28
2713,28
2714,28
2715,24
2718,28
2801,42
2804,27
2808,27
2809,27
2819,42
2827,28
2828,28
2831,28
2832,28
2838,25
2909,24
2912,24
2916,24
2922,24
2924,24
2925,24
3005,22
3006,22
3007,22
3008,12
3009,12
301.01,48
301.02,48
301.03,48
301.04,48
3011,12
3012,12
3016,22
3017.01,22
3017.02,22
3018.01,22
3018.02,22
3018.03,22
302,48
303,40
304,40
305,48
306.01,48
306.03,48
306.04,48
